%Codos_1_doble cara_tres dielectricos_G=2.4_Lx=8.5_Ly=8.5 2CISA L=5x5v2.txt -> Nombre del fichero original
%Parameters = {LONGY=1; D=10; G=2.4; Lhx=4; Lhy=0.5; Lvx=1; Lvy=3; Lx=8.5; Ly=8.5; W=1; g_Cu=0.035; phi=0; sep=0.035; theta=0}
%"Frequency / GHz"	"SZmax(1),Zmin(1) (8) [Mag]"	"SZmax(1),Zmin(1) (8) [Pha in deg.]"
%-----------------------------------------------------------------------------------
0.00000000000000	0.99999689206632	0.00051851020877105
0.010000000000000	0.99988155727783	-0.47886110220538
0.020000000000000	0.99975194251679	-0.95815999462333
0.040000000000000	0.99945000182129	-1.9164847363127
0.060000000000000	0.99909134989715	-2.8743941661649
0.080000000000000	0.99867630223959	-3.8318271185585
0.10000000000000	0.99820520943744	-4.7887228602025
0.12000000000000	0.99767845663202	-5.7450211385649
0.14000000000000	0.99709646292044	-6.7006622293750
0.16000000000000	0.99645968070572	-7.6555869831158
0.18000000000000	0.99576859499548	-8.6097368704152
0.20000000000000	0.99502372265162	-9.5630540262631
0.22000000000000	0.99422561159317	-10.515481292969
0.24000000000000	0.99337483995499	-11.466962261795
0.26000000000000	0.99247201520473	-12.417441313187
0.28000000000000	0.99151777322089	-13.366863655556
0.30000000000000	0.99051277733463	-14.315175362535
0.32000000000000	0.98945771733822	-15.262323408671
0.34000000000000	0.98835330846308	-16.208255703501
0.36000000000000	0.98720029033031	-17.152921123961
0.38000000000000	0.98599942587659	-18.096269545112
0.40000000000000	0.98475150025871	-19.038251869129
0.42000000000000	0.98345731973941	-19.978820052538
0.44000000000000	0.98211771055772	-20.917927131684
0.46000000000000	0.98073351778675	-21.855527246405
0.48000000000000	0.97930560418178	-22.791575661904
0.50000000000000	0.97783484902167	-23.726028788823
0.52000000000000	0.97632214694626	-24.658844201506
0.54000000000000	0.97476840679275	-25.589980654465
0.56000000000000	0.97317455043357	-26.519398097048
0.58000000000000	0.97154151161850	-27.447057686340
0.60000000000000	0.96987023482348	-28.372921798298
0.62000000000000	0.96816167410860	-29.296954037146
0.64000000000000	0.96641679198760	-30.219119243071
0.66000000000000	0.96463655831104	-31.139383498223
0.68000000000000	0.96282194916538	-32.057714131080
0.70000000000000	0.96097394578979	-32.974079719195
0.72000000000000	0.95909353351275	-33.888450090376
0.74000000000000	0.95718170071002	-34.800796322331
0.76000000000000	0.95523943778568	-35.711090740834
0.78000000000000	0.95326773617778	-36.619306916452
0.80000000000000	0.95126758738986	-37.525419659886
0.82000000000000	0.94923998204967	-38.429405015966
0.84000000000000	0.94718590899615	-39.331240256374
0.86000000000000	0.94510635439571	-40.230903871124
0.88000000000000	0.94300230088859	-41.128375558871
0.90000000000000	0.94087472676619	-42.023636216098
0.92000000000000	0.93872460517982	-42.916667925237
0.94000000000000	0.93655290338151	-43.807453941779
0.96000000000000	0.93436058199724	-44.695978680436
0.98000000000000	0.93214859433290	-45.582227700405
1.0000000000000	0.92991788571308	-46.466187689797
1.0200000000000	0.92766939285294	-47.347846449276
1.0400000000000	0.92540404326301	-48.227192874979
1.0600000000000	0.92312275468690	-49.104216940760
1.0800000000000	0.92082643457173	-49.978909679820
1.1000000000000	0.91851597957102	-50.851263165769
1.1200000000000	0.91619227507964	-51.721270493181
1.1400000000000	0.91385619480062	-52.588925757685
1.1600000000000	0.91150860034305	-53.454224035651
1.1800000000000	0.90915034085080	-54.317161363506
1.2000000000000	0.90678225266139	-55.177734716746
1.2200000000000	0.90440515899433	-56.035941988675
1.2400000000000	0.90201986966834	-56.891781968918
1.2600000000000	0.89962718084666	-57.745254321757
1.2800000000000	0.89722787480974	-58.596359564326
1.3000000000000	0.89482271975461	-59.445099044705
1.3200000000000	0.89241246961985	-60.291474919954
1.3400000000000	0.88999786393575	-61.135490134115
1.3600000000000	0.88757962769838	-61.977148396230
1.3800000000000	0.88515847126702	-62.816454158394
1.4000000000000	0.88273509028396	-63.653412593887
1.4200000000000	0.88031016561572	-64.488029575399
1.4400000000000	0.87788436331495	-65.320311653394
1.4600000000000	0.87545833460204	-66.150266034620
1.4800000000000	0.87303271586551	-66.977900560811
1.5000000000000	0.87060812868045	-67.803223687582
1.5200000000000	0.86818517984393	-68.626244463555
1.5400000000000	0.86576446142669	-69.446972509727
1.5600000000000	0.86334655084021	-70.265417999101
1.5800000000000	0.86093201091820	-71.081591636602
1.6000000000000	0.85852139001186	-71.895504639279
1.6200000000000	0.85611522209798	-72.707168716825
1.6400000000000	0.85371402689909	-73.516596052422
1.6600000000000	0.85131831001500	-74.323799283906
1.6800000000000	0.84892856306473	-75.128791485295
1.7000000000000	0.84654526383840	-75.931586148659
1.7200000000000	0.84416887645809	-76.732197166355
1.7400000000000	0.84179985154713	-77.530638813636
1.7600000000000	0.83943862640716	-78.326925731625
1.7800000000000	0.83708562520213	-79.121072910680
1.8000000000000	0.83474125914886	-79.913095674140
1.8200000000000	0.83240592671339	-80.703009662453
1.8400000000000	0.83008001381257	-81.490830817701
1.8600000000000	0.82776389402034	-82.276575368515
1.8800000000000	0.82545792877820	-83.060259815383
1.9000000000000	0.82316246760935	-83.841900916346
1.9200000000000	0.82087784833587	-84.621515673094
1.9400000000000	0.81860439729878	-85.399121317446
1.9600000000000	0.81634242958014	-86.174735298226
1.9800000000000	0.81409224922716	-86.948375268524
2.0000000000000	0.81185414947765	-87.720059073338
2.0200000000000	0.80962841298647	-88.489804737603
2.0400000000000	0.80741531205277	-89.257630454597
2.0600000000000	0.80521510884753	-90.023554574723
